accession_number,cusip,name_of_issuer,value_usd_thousands,shares,shares_type,put_call
3697639270-25-000016,069572554,Jojo Rabbit,11900,1,SH,
2502431301-25-000015,069572554,Jojo Rabbit,8310,2,SH,
3714999293-25-000017,069572554,Jojo Rabbit,6780,3,SH,
9556618369-25-000033,069572554,Jojo Rabbit,5816,5,SH,
4507343014-25-000031,069572554,Jojo Rabbit,2895,2,SH,
4980832373-25-000038,069572554,Jojo Rabbit,2216,2,SH,
0882872236-25-000037,069572554,Jojo Rabbit,1584,2,SH,
5726397830-25-000013,805447534,Ford v Ferrari,11007,4,SH,
7070487298-25-000004,805447534,Ford v Ferrari,12776,5,SH,
1013937505-25-000026,805447534,Ford v Ferrari,5880,5,SH,
0882872236-25-000037,805447534,Ford v Ferrari,9474,4,SH,
9906726111-25-000021,805447534,Ford v Ferrari,4060,3,SH,
9574298491-25-000034,805447534,Ford v Ferrari,5644,4,SH,
4589811776-25-000029,805447534,Ford v Ferrari,4974,5,SH,
9868593104-25-000036,805447534,Ford v Ferrari,3836,5,SH,
1029297506-25-000003,805447534,Ford v Ferrari,1251,4,SH,
3714999293-25-000017,798589136,1917,7440,4,SH,
7083136192-25-000027,798589136,1917,4552,4,SH,
4507343014-25-000031,798589136,1917,3183,5,SH,
8273532535-25-000001,798589136,1917,3786,1,SH,
2125318378-25-000024,798589136,1917,1606,5,SH,
8273532535-25-000001,653069068,Tenet,12608,3,SH,
6259869231-25-000005,653069068,Tenet,8631,4,SH,
7083136192-25-000027,653069068,Tenet,8814,3,SH,
1999338669-25-000008,653069068,Tenet,7880,3,SH,
4589811776-25-000029,653069068,Tenet,6652,3,SH,
5781760498-25-000011,653069068,Tenet,2901,4,SH,
1029297506-25-000003,653069068,Tenet,1678,5,SH,
3697639270-25-000016,653069068,Tenet,906,3,SH,
7070487298-25-000004,023786649,The Irishman,4205,5,SH,
6354417073-25-000002,023786649,The Irishman,4448,2,SH,
8273532535-25-000001,023786649,The Irishman,3174,4,SH,
2502431301-25-000015,023786649,The Irishman,4342,1,SH,
3026064571-25-000012,023786649,The Irishman,1955,2,SH,
3697639270-25-000016,604024022,Bohemian Rhapsody,13895,1,SH,
6281243744-25-000023,604024022,Bohemian Rhapsody,8628,5,SH,
8684426023-25-000010,604024022,Bohemian Rhapsody,10935,4,SH,
0525266626-25-000007,604024022,Bohemian Rhapsody,6448,2,SH,
0882872236-25-000037,604024022,Bohemian Rhapsody,2865,5,SH,
7292854061-25-000019,604024022,Bohemian Rhapsody,4168,2,SH,
2262265126-25-000006,604024022,Bohemian Rhapsody,1008,3,SH,
4980832373-25-000038,633849576,A Star Is Born,16524,3,SH,
0525266626-25-000007,633849576,A Star Is Born,6600,4,SH,
9868593104-25-000036,633849576,A Star Is Born,12621,1,SH,
6354417073-25-000002,633849576,A Star Is Born,10122,3,SH,
7567453470-25-000022,633849576,A Star Is Born,10505,4,SH,
9574298491-25-000034,633849576,A Star Is Born,4452,4,SH,
7083136192-25-000027,633849576,A Star Is Born,3480,5,SH,
6281243744-25-000023,633849576,A Star Is Born,4264,3,SH,
7070487298-25-000004,633849576,A Star Is Born,2061,5,SH,
4589811776-25-000029,546328790,Green Book,9597,4,SH,
7083136192-25-000027,546328790,Green Book,7794,4,SH,
0882872236-25-000037,546328790,Green Book,9835,5,SH,
3714999293-25-000017,546328790,Green Book,8672,4,SH,
9539557463-25-000020,546328790,Green Book,4464,1,SH,
2502431301-25-000015,546328790,Green Book,3624,3,SH,
6259869231-25-000005,546328790,Green Book,1172,4,SH,
7567453470-25-000022,916241598,Roma Nights,6825,5,SH,
3697639270-25-000016,916241598,Roma Nights,3280,5,SH,
9906726111-25-000021,916241598,Roma Nights,3573,1,SH,
3714999293-25-000017,916241598,Roma Nights,2588,4,SH,
4980832373-25-000038,916241598,Roma Nights,1800,5,SH,
7774346714-25-000030,772712155,Vice,7010,2,SH,
4507343014-25-000031,772712155,Vice,6512,2,SH,
0221950621-25-000028,772712155,Vice,4281,5,SH,
8273532535-25-000001,772712155,Vice,3110,4,SH,
6259869231-25-000005,772712155,Vice,1933,5,SH,
7083136192-25-000027,369836009,The Favourite,8562,3,SH,
4046355014-25-000035,369836009,The Favourite,6360,1,SH,
9906726111-25-000021,369836009,The Favourite,4776,3,SH,
7567453470-25-000022,369836009,The Favourite,3132,5,SH,
4589811776-25-000029,369836009,The Favourite,2358,2,SH,
3714999293-25-000017,369836009,The Favourite,1243,4,SH,
0882872236-25-000037,965458333,Three Billboards,7590,3,SH,
9556618369-25-000033,965458333,Three Billboards,5835,3,SH,
4523643737-25-000018,965458333,Three Billboards,3312,5,SH,
2262265126-25-000006,965458333,Three Billboards,3177,3,SH,
3026064571-25-000012,965458333,Three Billboards,1786,1,SH,
0637817078-25-000039,965458333,Three Billboards,1933,3,SH,
1999338669-25-000008,059665415,Phantom Thread,10593,1,SH,
4507343014-25-000031,059665415,Phantom Thread,10536,4,SH,
2262265126-25-000006,059665415,Phantom Thread,7231,1,SH,
0094621658-25-000000,059665415,Phantom Thread,9720,4,SH,
4523643737-25-000018,059665415,Phantom Thread,4755,5,SH,
7774346714-25-000030,059665415,Phantom Thread,8356,1,SH,
9574298491-25-000034,059665415,Phantom Thread,3330,2,SH,
0221950621-25-000028,059665415,Phantom Thread,3904,3,SH,
9906726111-25-000021,059665415,Phantom Thread,974,2,SH,
4046355014-25-000035,852483232,Lady Bird,5048,5,SH,
1013937505-25-000026,852483232,Lady Bird,4737,4,SH,
4980832373-25-000038,852483232,Lady Bird,3412,3,SH,
0637817078-25-000039,852483232,Lady Bird,2005,4,SH,
9868593104-25-000036,065929422,Call Me By Your Name,12912,1,SH,
1029297506-25-000003,065929422,Call Me By Your Name,5605,2,SH,
2262265126-25-000006,065929422,Call Me By Your Name,4620,5,SH,
5726397830-25-000013,065929422,Call Me By Your Name,2859,2,SH,
0637817078-25-000039,065929422,Call Me By Your Name,1610,4,SH,
3697639270-25-000016,065929422,Call Me By Your Name,1722,5,SH,
4523643737-25-000018,818940432,Manchester by the Sea,8946,3,SH,
6354417073-25-000002,818940432,Manchester by the Sea,12480,5,SH,
8248581025-25-000014,818940432,Manchester by the Sea,10770,2,SH,
0637817078-25-000039,818940432,Manchester by the Sea,6680,1,SH,
9868593104-25-000036,818940432,Manchester by the Sea,5745,2,SH,
4589811776-25-000029,818940432,Manchester by the Sea,4252,2,SH,
7070487298-25-000004,818940432,Manchester by the Sea,1344,2,SH,
1029297506-25-000003,205915401,Moonlight,7860,3,SH,
8684426023-25-000010,205915401,Moonlight,5097,1,SH,
7292854061-25-000019,205915401,Moonlight,3518,3,SH,
4980832373-25-000038,205915401,Moonlight,1624,3,SH,
9574298491-25-000034,161855877,Hidden Figures,6816,1,SH,
4507343014-25-000031,161855877,Hidden Figures,8876,5,SH,
0221950621-25-000028,161855877,Hidden Figures,12012,1,SH,
6259869231-25-000005,161855877,Hidden Figures,10880,3,SH,
6354417073-25-000002,161855877,Hidden Figures,7920,1,SH,
7083136192-25-000027,161855877,Hidden Figures,3474,4,SH,
9539557463-25-000020,161855877,Hidden Figures,3724,4,SH,
3697639270-25-000016,161855877,Hidden Figures,1369,2,SH,
7083136192-25-000027,626385495,Hacksaw Ridge,17376,1,SH,
4507343014-25-000031,626385495,Hacksaw Ridge,7903,3,SH,
6259869231-25-000005,626385495,Hacksaw Ridge,9858,4,SH,
7774346714-25-000030,626385495,Hacksaw Ridge,6950,4,SH,
7567453470-25-000022,626385495,Hacksaw Ridge,7704,1,SH,
1013937505-25-000026,626385495,Hacksaw Ridge,5193,1,SH,
9906726111-25-000021,626385495,Hacksaw Ridge,2888,3,SH,
9539557463-25-000020,626385495,Hacksaw Ridge,1462,1,SH,
9595293407-25-000032,715892381,Spotlight,13027,3,SH,
0094621658-25-000000,715892381,Spotlight,12450,4,SH,
9574298491-25-000034,715892381,Spotlight,10400,4,SH,
4589811776-25-000029,715892381,Spotlight,3620,2,SH,
1013937505-25-000026,715892381,Spotlight,4038,5,SH,
1029297506-25-000003,715892381,Spotlight,2136,3,SH,
3026064571-25-000012,715892381,Spotlight,1697,4,SH,
8273532535-25-000001,794627190,The Big Short,5744,5,SH,
4980832373-25-000038,794627190,The Big Short,2484,5,SH,
2502431301-25-000015,794627190,The Big Short,3270,1,SH,
8684426023-25-000010,794627190,The Big Short,1260,1,SH,
0525266626-25-000007,612782015,The Martian,12516,4,SH,
4217837938-25-000009,612782015,The Martian,7794,4,SH,
4507343014-25-000031,612782015,The Martian,9640,2,SH,
4523643737-25-000018,612782015,The Martian,6340,2,SH,
9595293407-25-000032,612782015,The Martian,6081,5,SH,
3714999293-25-000017,612782015,The Martian,2158,1,SH,
1013937505-25-000026,612782015,The Martian,1365,4,SH,
9595293407-25-000032,469253933,Bridge of Spies,6624,4,SH,
3714999293-25-000017,469253933,Bridge of Spies,9515,4,SH,
0094621658-25-000000,469253933,Bridge of Spies,6024,3,SH,
4523643737-25-000018,469253933,Bridge of Spies,5790,5,SH,
7292854061-25-000019,469253933,Bridge of Spies,3144,4,SH,
4507343014-25-000031,469253933,Bridge of Spies,1459,2,SH,
2502431301-25-000015,887421781,Sicario,14310,2,SH,
9868593104-25-000036,887421781,Sicario,14512,1,SH,
2125318378-25-000024,887421781,Sicario,7406,5,SH,
8248581025-25-000014,887421781,Sicario,12048,3,SH,
1013937505-25-000026,887421781,Sicario,5025,4,SH,
6354417073-25-000002,887421781,Sicario,4016,5,SH,
9539557463-25-000020,887421781,Sicario,5205,1,SH,
7774346714-25-000030,887421781,Sicario,2190,4,SH,
0882872236-25-000037,887421781,Sicario,2140,2,SH,
7774346714-25-000030,370124639,Nightcrawler,6456,1,SH,
3697639270-25-000016,370124639,Nightcrawler,4416,5,SH,
9906726111-25-000021,370124639,Nightcrawler,3156,3,SH,
0637817078-25-000039,370124639,Nightcrawler,2083,4,SH,
6354417073-25-000002,746657812,Gone Girl,16776,1,SH,
7070487298-25-000004,746657812,Gone Girl,11956,2,SH,
2502431301-25-000015,746657812,Gone Girl,8478,1,SH,
4523643737-25-000018,746657812,Gone Girl,4470,3,SH,
8248581025-25-000014,746657812,Gone Girl,3656,3,SH,
6259869231-25-000005,746657812,Gone Girl,4602,3,SH,
7083136192-25-000027,746657812,Gone Girl,3364,2,SH,
2262265126-25-000006,746657812,Gone Girl,1300,5,SH,
9868593104-25-000036,824241332,12 Years a Slave,12733,5,SH,
5781760498-25-000011,824241332,12 Years a Slave,6558,2,SH,
8684426023-25-000010,824241332,12 Years a Slave,8720,3,SH,
4980832373-25-000038,824241332,12 Years a Slave,6964,3,SH,
6259869231-25-000005,824241332,12 Years a Slave,6495,1,SH,
2125318378-25-000024,824241332,12 Years a Slave,3504,3,SH,
2502431301-25-000015,824241332,12 Years a Slave,2187,5,SH,
7070487298-25-000004,458111207,American Hustle,10540,4,SH,
0221950621-25-000028,458111207,American Hustle,5248,4,SH,
7567453470-25-000022,458111207,American Hustle,4254,2,SH,
0882872236-25-000037,458111207,American Hustle,3174,4,SH,
7292854061-25-000019,458111207,American Hustle,1018,2,SH,
9868593104-25-000036,147298981,Her,9534,1,SH,
7567453470-25-000022,147298981,Her,11754,1,SH,
0637817078-25-000039,147298981,Her,10205,4,SH,
4523643737-25-000018,147298981,Her,5544,2,SH,
0882872236-25-000037,147298981,Her,6129,3,SH,
8273532535-25-000001,147298981,Her,2496,2,SH,
9300063721-25-000025,147298981,Her,2071,3,SH,
1999338669-25-000008,888396685,Gravity,12636,3,SH,
2262265126-25-000006,888396685,Gravity,13200,2,SH,
6354417073-25-000002,888396685,Gravity,8477,2,SH,
7292854061-25-000019,888396685,Gravity,11424,3,SH,
0221950621-25-000028,888396685,Gravity,9435,5,SH,
0882872236-25-000037,888396685,Gravity,5432,2,SH,
6281243744-25-000023,888396685,Gravity,3978,4,SH,
0637817078-25-000039,888396685,Gravity,2808,3,SH,
6259869231-25-000005,888396685,Gravity,1035,4,SH,
4217837938-25-000009,699826757,Captain Phillips,6196,1,SH,
8248581025-25-000014,699826757,Captain Phillips,4824,1,SH,
9300063721-25-000025,699826757,Captain Phillips,2682,5,SH,
4046355014-25-000035,699826757,Captain Phillips,1053,4,SH,
